sample_kind,sample_index,component_id,operation_code,category,component_description,project_title,scope_evidence,cutoff_date,rule_version,match_tier,funding_source_url,procurement_source_url,human_verdict,human_reason,reviewer,reviewed_at
OPEN,1,cmp_450a5f8ec24c5817c8cb,F98C25002300007,energy_efficiency:photovoltaic,Photovoltaic systems,Realizzazione di impianto fotovoltaico ed intervento di relamping,Realizzazione di impianto fotovoltaico ed intervento di relamping,2026-09-08,phase-b-conservative-v3-true-title-match,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,2,cmp_6f750c8b41c360c9b9ef,F28C25000500007,ports_coastal:photovoltaic,Photovoltaic systems,IMPIANTO FOTOVOLTAICO CON ACCUMULO E  RELAMPING A LED,IMPIANTO FOTOVOLTAICO CON ACCUMULO E  RELAMPING A LED,2026-09-08,phase-b-conservative-v3-true-title-match,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,3,cmp_3ddef3a985505cb08fb9,F58C25000450007,energy_efficiency:photovoltaic,Photovoltaic systems,Intervento di relamping e nuovo impianto fotovoltaico,Intervento di relamping e nuovo impianto fotovoltaico,2026-09-08,phase-b-conservative-v3-true-title-match,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,4,cmp_69482e135dcd9da2eb70,F68C25000310007,ports_coastal:photovoltaic,Photovoltaic systems,EFFICIENTAMENTO ENERGETICO E FOTOVOLTAICO PER MUSEO VIAGGI SRL,EFFICIENTAMENTO ENERGETICO E FOTOVOLTAICO PER MUSEO VIAGGI SRL,2026-09-08,phase-b-conservative-v3-true-title-match,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,5,cmp_f663d56ea9e8e5d8a37b,F58C25000400007,ports_coastal:photovoltaic,Photovoltaic systems,Sostituzione corpi illuminanti ed installazione impianto fotovoltaico,Sostituzione corpi illuminanti ed installazione impianto fotovoltaico,2026-09-08,phase-b-conservative-v3-true-title-match,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,6,cmp_55da7b559434e6a8264c,F48C25002410007,water_wastewater:automation_control,Automation and control,Digitalizzazione delle attivit del futuro del media planning: linfluencer marketing automation.,Digitalizzazione delle attivit del futuro del media planning: linfluencer marketing automation.,2026-09-08,phase-b-conservative-v2-exact-evidence,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,7,cmp_72e0554851f5f4eb60ca,F78C25001950007,energy_efficiency:photovoltaic,Photovoltaic systems,"Sostituzione plafoniere, domotica e fotovoltaico","Sostituzione plafoniere, domotica e fotovoltaico",2026-09-08,phase-b-conservative-v3-true-title-match,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,8,cmp_81a54458088dd4868f51,F58C25000610007,energy_efficiency:photovoltaic,Photovoltaic systems,Sostituzione Compressore e Fotovoltaico,Sostituzione Compressore e Fotovoltaico,2026-09-08,phase-b-conservative-v3-true-title-match,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,9,cmp_7a314e40cbd3634c9802,F88C25005430007,ports_coastal:photovoltaic,Photovoltaic systems,BADONI ELISABETTA : FOTOVOLTAICO ATTREZZTURA E POMPA DI CALORE,BADONI ELISABETTA : FOTOVOLTAICO ATTREZZTURA E POMPA DI CALORE,2026-09-08,phase-b-conservative-v3-true-title-match,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
OPEN,10,cmp_d76a5917d35f025cc937,E41B24000730007,water_wastewater:monitoring,Monitoring,Advanced Bridge Monitoring,Advanced Bridge Monitoring,2026-09-08,phase-b-conservative-v2-exact-evidence,"",https://opencoesione.gov.it/media/open_data/beneficiari/2021-2027/beneficiari_PR_FESR_LOMBARDIA.zip,"","","","",""
